objectid,name,feattype,GEOID,tract_latitude,tract_longitude,lat,lon
35131,Chester State Park,Park and Recreation Area,45023020601,+34.6196182,-081.2596425,34.6836815,-81.245201
35132,Lancaster Golf Club,Golf Course,45057010500,+34.6924242,-080.8004274,34.683941,-80.786489
35133,Campus Beach And Recreation Area,Beach,45073030702,+34.6541582,-082.8855542,34.6840734,-82.8608363
35147,Oconee Country Club,Golf Course,45073030601,+34.7033834,-082.9775697,34.686808,-83.011596
35165,Larry W. Abernathy Water Front Park,Park and Recreation Area,45077011205,+34.6834674,-082.8345660,34.6910483,-82.8372695
35169,Riverchase Golf Club,Golf Course,45087030700,+34.6214610,-081.7049843,34.6929997,-81.698326
35183,Chimney Ridge,Amusement Park,45077011102,+34.7109098,-082.7563613,34.6959961,-82.7887902
35212,Arrowhead Park,Park and Recreation Area,45025950502,+34.7080062,-079.9249608,34.699886,-79.9185862
35233,Twelve Mile Recreation Area,Beach,45077011204,+34.7401093,-082.8511800,34.7032304,-82.8334135
35235,Park @ Neely Farm,Amusement Park,45045003015,+34.6851224,-082.2888109,34.7041879,-82.2938423
35239,Central Beach Bingo,Amusement Park,45077011102,+34.7109098,-082.7563613,34.7061785,-82.7944375
35241,Hartwell Lake,Beach,45077011204,+34.7401093,-082.8511800,34.7067142,-82.8335662
35273,South Cove County Park,Park and Recreation Area,45073030601,+34.7033834,-082.9775697,34.7131139,-82.9663236
35289,Chester Golf Club,Golf Course,45023020602,+34.7136872,-081.1207622,34.718125,-81.1386804
35315,Blue Ridge Golf Center,Golf Course,45073030500,+34.7202582,-083.0545195,34.7232186,-83.0177178
35320,White Plains Country Club,Golf Course,45025950101,+34.7587822,-080.4600952,34.7250515,-80.4134025
35323,Foster Park - Veterans Park,Park and Recreation Area,45087030100,+34.7276446,-081.6274414,34.7254057,-81.6123566
35327,Madworld Escape,Amusement Park,45007010102,+34.7312026,-082.5183665,34.727133,-82.4957109
35335,Lakeview Golf Club,Golf Course,45045003301,+34.6906109,-082.4349967,34.7298265,-82.4287593
35344,Simpsonville Veterans Memorial,Park and Recreation Area,45045003005,+34.7373354,-082.2632243,34.7318792,-82.2546826
35352,Carolina Springs Golf Club,Golf Course,45045003009,+34.7585255,-082.1864755,34.7345679,-82.1874477
35353,Carolina Country Club,Golf Course,45045003009,+34.7585255,-082.1864755,34.7345778,-82.1873723
35375,McKinney Park,Park and Recreation Area,45083023600,+34.7198669,-082.0268573,34.738671,-82.033955
35380,Fox Run Country Club,Golf Course,45045003009,+34.7585255,-082.1864755,34.7396938,-82.2056971
35386,Southern Oaks Golf Course,Golf Course,45007010102,+34.7312026,-082.5183665,34.7406766,-82.5389579
35387,Carl Gibson Amusement,Amusement Park,45059920101,+34.6996110,-082.1321446,34.7409362,-82.1284002
35397,Discovery Island,Amusement Park,45045003014,+34.7342749,-082.3008749,34.742768,-82.302763
35402,Hejaz Golf Club,Golf Course,45045002905,+34.7564671,-082.3154601,34.7439393,-82.3237636
35404,Hejaz Shrine Country Club,Golf Course,45045002905,+34.7564671,-082.3154601,34.7442871,-82.3236893
35417,Bonnie Brae Golf Club,Golf Course,45045003304,+34.7063155,-082.3397434,34.7471372,-82.3533769
35440,Timber Walk Park,Amusement Park,45045003010,+34.7569276,-082.2476429,34.7523676,-82.242794
35451,Green River Country Club,Golf Course,45025950400,+34.7255811,-080.1008750,34.7560589,-80.0783786
35472,Pinecastle Records,Amusement Park,45007010102,+34.7312026,-082.5183665,34.7642736,-82.4747219
35473,Donaldson Center Golf Course,Golf Course,45045003401,+34.7531594,-082.3718916,34.7643759,-82.3648931
