﻿wkt_geom,OBJECTID,STCTYFIPS,NAME,FEATTYPE,MNFC,TEXTLENGTH
Point (-78.7929369999999949 33.77704599999998436),28014,45051,Myrtle Beach Vacation Rentals,Beach,9357,29
Point (-78.79136990000000651 33.77807999999998856),28037,45051,Ultra Zone Myrtle Beach,Amusement Park,9902,23
Point (-78.79136990000000651 33.77807999999998856),28038,45051,Extreme Laser Tag,Amusement Park,9902,17
Point (-78.7766838000000007 33.77902319999998326),28044,45051,Arcadian Shores Golf Club at Myrtle Beach Hilton,Golf Course,9911,48
Point (-78.80210310000001073 33.78194430000002058),28072,45051,Grande Dunes Members Club,Golf Course,9911,25
Point (-78.78632099999998673 33.7822400000000016),28074,45051,Rainbow Falls Golf,Amusement Park,9902,18
Point (-78.78632099999998673 33.7822400000000016),28075,45051,Rainbow Falls Golf,Golf Course,9911,18
Point (-78.78886679999999387 33.78357369999997672),28091,45051,Waterway Hills Golf Club,Golf Course,9911,24
Point (-79.01578200000000152 33.7838029999999776),28096,45051,Arcades Interational,Amusement Park,9902,20
Point (-78.74620800000002419 33.78437700000000632),28108,45051,White Point Swash,Beach,9357,17
Point (-81.91542520000001559 33.78689270000000988),28136,45037,Edgefield Park,Park and Recreation Area,9362,14
Point (-78.73785670000000891 33.7886239000000046),28163,45051,Town of Briarcliffe Acres Beach,Beach,9357,31
Point (-79.00948710000000119 33.78889370000001691),28167,45051,General James Hackler Course at Coastal Carolina,Golf Course,9911,48
Point (-79.01308710000000701 33.79060980000002701),28189,45051,Quail Creek Golf Club At Coastal Carolina University,Golf Course,9911,52
Point (-78.73465900000002193 33.79145399999998745),28200,45051,Code Free Beach,Beach,9357,15
Point (-78.96616130000001021 33.7918978000000152),28211,45051,Myrtle Beach National Golf Club-Kings North,Golf Course,9911,43
Point (-78.76677599999999302 33.79223100000001523),28218,45051,Lunar Mini Golf,Amusement Park,9902,15
Point (-78.76670630000000983 33.79255180000001246),28226,45051,Warp Zone,Amusement Park,9902,9
Point (-78.72802899999999227 33.7933320000000208),28244,45051,Windy Hill Beach,Beach,9357,16
Point (-78.72852990000001228 33.7939269999999965),28254,45051,Ocean Park,Park and Recreation Area,9362,10
Point (-78.72781739999999218 33.79406410000001415),28258,45051,On The Beach,Beach,9357,12
Point (-79.01018740000000662 33.79552489999997533),28279,45051,Cino Grille At Coastal Carolina University,Amusement Park,9902,42
Point (-78.72665990000001557 33.79559199999999919),28280,45051,Emerald Cove 1,Beach,9357,14
Point (-78.72265260000000353 33.79606780000000299),28285,45051,Windy Hill Beach 39Th Ave.,Beach,9357,26
Point (-78.72284020000000737 33.7966450999999779),28296,45051,38Th S. Beach Access,Beach,9357,20
Point (-78.74363379999999779 33.79731750000001966),28305,45051,Mirror Maze,Amusement Park,9902,11
Point (-78.72108900000000631 33.79769700000002786),28308,45051,The Beach Club,Beach,9357,14
Point (-78.74652209999999286 33.7989233999999783),28328,45051,Barefoot Landing Carousel,Amusement Park,9902,25
Point (-78.71826800000002322 33.7990249999999719),28330,45051,Shipwreck Island Adventure GLF,Amusement Park,9902,30
Point (-78.71879580000000942 33.79934359999998605),28334,45051,Atlantic Beach,Beach,9357,14
Point (-78.98177500000002738 33.79969760000000178),28338,45051,Wild Wing Plantation,Golf Course,9911,20
Point (-78.72960599999998976 33.80037800000002335),28344,45051,Myrtle Beach Christian Retreat,Beach,9357,30
Point (-78.73075390000002471 33.80074819999998681),28352,45051,Hawaiian Village Golf,Golf Course,9911,21
Point (-78.73065100000002303 33.80085459999997965),28354,45051,Hawaiian Village,Amusement Park,9902,16
Point (-78.76634100000001126 33.80105240000000322),28357,45051,Cypress Bend @ Barefoot,Golf Course,9911,23
Point (-78.71193859999999631 33.80190040000002227),28365,45051,27Th Ave South Beach Access,Beach,9357,27
Point (-81.05801000000002432 33.80223599999999351),28368,45063,Terror Falls,Amusement Park,9902,12
Point (-78.7276512999999909 33.80228740000001153),28370,45051,Barefoot Park,Park and Recreation Area,9362,13
Point (-81.63727790000001505 33.80246299999998882),28372,45003,Aiken Wayside Park,Park and Recreation Area,9362,18
Point (-78.75431500000001961 33.80323920000000726),28379,45051,Barefoot Resort Driving Range,Golf Course,9911,29
Point (-78.70699220000000196 33.80430230000001757),28392,45051,21St Avenue South Beach Access,Beach,9357,30
Point (-78.7218215999999984 33.80443709999997282),28393,45051,Beach Bum Avenue,Beach,9357,16
Point (-80.54828190000000632 33.80446899999998323),28395,45085,Poinsett State Park,Park and Recreation Area,9362,19
Point (-78.7058599000000072 33.80480360000001383),28400,45051,21St Ave. S. Nmb Beach Access,Beach,9357,29
Point (-78.72184600000002774 33.80555099999997992),28410,45051,Hawaiian Rumble Golf,Amusement Park,9902,20
Point (-78.72184600000002774 33.80555099999997992),28411,45051,Hawaiian Rumble Golf,Golf Course,9911,20
Point (-78.71336710000002768 33.80582299999997531),28413,45051,"26Th Avenue South, North Myrtle Beach Sc",Beach,9357,40
Point (-78.70459629999999152 33.80621580000001813),28419,45051,North Myrtle Beach Public Access,Beach,9357,32
Point (-78.75270970000002535 33.80712429999999813),28435,45051,Barefoot Resort and Golf Club,Golf Course,9911,29
Point (-78.70001680000001443 33.80738659999997253),28442,45051,In The Sun,Beach,9357,10
Point (-78.70127380000002404 33.80807260000000269),28451,45051,Crescent Beach,Beach,9357,14
Point (-78.69829540000000634 33.80811929999998711),28452,45051,16Th Ave S. Public Beach Access,Beach,9357,31
Point (-79.44075850000001537 33.80868900000001531),28492,45041,The Wellman Country Club,Golf Course,9911,24
Point (-78.71068950000000086 33.80906090000001996),28500,45051,The Nexus Vr Arcade,Amusement Park,9902,19
Point (-78.69359289999999874 33.81002009999997426),28518,45051,On The Beach,Beach,9357,12
Point (-78.68966640000002144 33.81106740000001309),28531,45051,13Th Ave Beach,Beach,9357,14
Point (-78.71273899999999912 33.81126899999998159),28533,45051,Azalea Sands Golf Club,Golf Course,9911,22
Point (-78.70456910000001471 33.81133180000000493),28534,45051,Lost Treasure Golf,Golf Course,9911,18
Point (-78.68906290000001036 33.81206200000002582),28544,45051,"On The Beach At The Wellington In N. Myrtle Beach, Sc",Beach,9357,53
Point (-78.70408700000001545 33.81221859999999424),28546,45051,Lost Treasure Golf,Amusement Park,9902,18
Point (-78.74605650000000878 33.81265100000001667),28548,45051,Barefoot Resort and Golf Club-Dye Course,Golf Course,9911,40
Point (-78.68463900000000422 33.81400500000000875),28561,45051,9Th Ave S Public Access,Beach,9357,23
Point (-78.68143620000000737 33.81465919999999414),28570,45051,Beach Side,Beach,9357,10
Point (-78.70031640000001971 33.81490680000001703),28574,45051,Beachwood Golf Club,Golf Course,9911,19
Point (-78.68184600000000728 33.81525479999999106),28582,45051,7Th Ave S Public Access,Beach,9357,23
Point (-78.67968050000001767 33.81576510000002145),28594,45051,6Th Ave Public Access,Beach,9357,21
Point (-78.68499600000001237 33.81611900000001469),28597,45051,Myrtle Beach Adrenaline Adventures,Amusement Park,9902,34
Point (-81.8747429000000011 33.81676829999997835),28600,45037,Pine Ridge Country Club,Golf Course,9911,23
Point (-78.67455150000000685 33.81695389999998724),28601,45051,On The Beach Relaxing,Beach,9357,21
Point (-78.67172640000001138 33.81791809999998577),28610,45051,Nmb Public Beach Access,Beach,9357,23
Point (-78.67275410000002012 33.81817979999999579),28614,45051,Ocean Drive Pavilion Amusement Park,Amusement Park,9902,35
Point (-78.67433540000001813 33.81904029999998329),28627,45051,Atlantic Ocean,Beach,9357,14
Point (-78.66715659999999843 33.81966849999997748),28632,45051,Nmb Public Beach Access #2,Beach,9357,26
Point (-78.66877410000000737 33.81970530000000963),28634,45051,Beach In Front Of Avista,Beach,9357,24
Point (-78.69992700000000241 33.81974800000000414),28635,45051,Possum Trot Golf Course,Golf Course,9911,23
Point (-78.67640690000001769 33.82087510000002339),28648,45051,McLean Park,Amusement Park,9902,11
Point (-78.67320499999999583 33.82130899999998519),28656,45051,Break Out,Amusement Park,9902,9
Point (-80.51833579999998847 33.82155669999997372),28661,45085,Manchester State Forest,Park and Recreation Area,9362,23
Point (-78.65787199999999757 33.82222039999999197),28673,45051,10Th Avenue Beach Access,Beach,9357,24
Point (-78.68535259999998743 33.82286290000001827),28678,45051,Prof. Hacker's Dinosaur Adventure MINI-Golf,Golf Course,9911,43
Point (-79.07281599999998889 33.82344699999998738),28681,45051,Coastal Kart Center,Amusement Park,9902,19
Point (-78.68554180000000997 33.82366309999997611),28687,45051,Dinosaur Adventure Golf,Amusement Park,9902,23
Point (-78.65603820000001178 33.82413569999999936),28694,45051,14Th Avenue Beach Access,Beach,9357,24
Point (-78.68230110000001787 33.82565579999999272),28704,45051,Mutiny Bay Miniature Golf,Amusement Park,9902,25
Point (-78.65021999999999025 33.82616899999999305),28710,45051,Cherry Grove Beach,Beach,9357,18
Point (-78.6451144000000113 33.82706030000002784),28723,45051,Cherry Grove Oceanfront Park,Beach,9357,28
Point (-78.64365440000000262 33.82879639999998744),28745,45051,Lost Treasure Mirror Maze,Amusement Park,9902,25
Point (-78.65322090000000799 33.8291810000000055),28748,45051,Surf Golf and Beach Club,Golf Course,9911,24
Point (-78.64359139999999115 33.82937470000001667),28752,45051,Cherry Grove,Beach,9357,12
Point (-78.63612560000001395 33.82939019999997754),28753,45051,7 Days Grace,Beach,9357,12
Point (-80.82492980000000671 33.83028369999999541),28767,45079,Congaree National Park,Park and Recreation Area,9362,22
Point (-78.63195250000001124 33.83053239999998141),28769,45051,Beach By The Pier,Beach,9357,17
Point (-78.63428900000002386 33.83069899999998142),28770,45051,Pier Watch Village#303,Beach,9357,22
Point (-80.36342960000001767 33.83095159999999169),28774,45085,Links at Lakewood,Golf Course,9911,17
Point (-78.66333290000000034 33.83167129999998224),28783,45051,The Surf Club,Golf Course,9911,13
Point (-78.63269500000001244 33.83337260000001834),28799,45051,Russell Burgess Coastal Preserve,Park and Recreation Area,9362,32
Point (-78.62238200000001598 33.83360399999997981),28802,45051,Cherry Grove Beach 46Th Avenue Entrance,Beach,9357,39
Point (-78.62572940000001154 33.83464980000002242),28809,45051,Cherry Grove Beach - Rice Circle,Beach,9357,32
Point (-81.13141780000000836 33.83487389999999095),28810,45063,Hidden Valley Golf Club,Golf Course,9911,23
Point (-78.62041099999999005 33.83500800000001618),28812,45051,Cherry Grove Beach - 48Th Ave Entrance,Beach,9357,38
Point (-78.67286139999998795 33.83511190000001534),28815,45051,Mayday Golf,Amusement Park,9902,11
Point (-78.61802610000000868 33.83613609999997607),28831,45051,A Place At The Beach Ii,Beach,9357,23
Point (-78.61450000000002092 33.83702899999997271),28842,45051,Futch Beach,Beach,9357,11
Point (-78.60949060000001509 33.83801490000001877),28854,45051,Tidewater Cabana,Beach,9357,16
Point (-78.66881890000001931 33.83835879999998042),28857,45051,Molten Mountain,Amusement Park,9902,15
Point (-78.60507840000002489 33.84130750000002763),28890,45051,The Point At Cherry Grove,Beach,9357,25
Point (-78.60506140000001096 33.84131639999998242),28891,45051,North Cherry Grove Beach,Beach,9357,24
Point (-78.6035069000000135 33.84145169999999325),28893,45051,Hog Inlet,Beach,9357,9
Point (-78.61417410000001382 33.84272570000001679),28908,45051,Heritage Shores Nature Preserve,Park and Recreation Area,9362,31
Point (-78.71150760000000446 33.84315709999998489),28919,45051,North Myrtle Beach Park and Sports Complex,Park and Recreation Area,9362,42
Point (-78.64462200000002667 33.8442670000000021),28940,45051,Hill Street Park,Amusement Park,9902,16
Point (-79.7646569999999997 33.84841810000000351),29004,45041,A & J Snack & Game Room,Amusement Park,9902,23
Point (-79.05793740000001435 33.84953259999997499),29021,45051,Collins Park,Park and Recreation Area,9362,12
Point (-79.04985959999999068 33.85391789999999901),29077,45051,The Park,Amusement Park,9902,8
Point (-78.62724500000001626 33.85519920000001548),29084,45051,Tidewater Golf Club,Golf Course,9911,19
Point (-81.54092700000001059 33.85934400000002142),29137,45063,Indian Trail Golf Course,Golf Course,9911,24
Point (-78.63143719999999348 33.86438609999999017),29199,45051,Eastport Golf Community,Golf Course,9911,23
Point (-78.63004260000002432 33.86441400000001067),29201,45051,The Valley at Eastport Golf Club,Golf Course,9911,32
Point (-79.04408590000002732 33.86601450000000568),29219,45051,Conway Country Club,Golf Course,9911,19
Point (-80.35643620000001874 33.86662039999998797),29229,45085,Skate Station Of Sumter,Amusement Park,9902,23
Point (-78.63338770000001432 33.86875730000002704),29255,45051,Harbor View Golf Course,Golf Course,9911,23
Point (-78.63354190000001154 33.86889930000000959),29260,45051,Harbour View Par 3 and Driving Range,Golf Course,9911,36
Point (-78.63354190000001154 33.86889930000000959),29261,45051,Tribal Island Tiki Adventure Golf,Amusement Park,9902,33
