state_fips,state,geoid,census_tract_2,year,value,data_comment,tract_latitude,tract_longitude
45,South Carolina,45019000600,"Charleston County, SC - 45019000600",2016,59.90%,,+32.7850610,-079.9510689
45,South Carolina,45019000700,"Charleston County, SC - 45019000700",2016,68.50%,,+32.7893794,-079.9385460
45,South Carolina,45019000900,"Charleston County, SC - 45019000900",2016,34.70%,,+32.7976264,-079.9287806
45,South Carolina,45019001000,"Charleston County, SC - 45019001000",2016,60.20%,,+32.7919285,-079.9443325
45,South Carolina,45019001100,"Charleston County, SC - 45019001100",2016,42.20%,,+32.7905077,-079.9565809
45,South Carolina,45019001500,"Charleston County, SC - 45019001500",2016,51.10%,,+32.8070997,-079.9522715
45,South Carolina,45019001600,"Charleston County, SC - 45019001600",2016,17.60%,,+32.8085921,-079.9624881
45,South Carolina,45019001901,"Charleston County, SC - 45019001901",2016,6.30%,,+32.7470539,-079.9967682
45,South Carolina,45019001902,"Charleston County, SC - 45019001902",2016,11.60%,,+32.7627874,-079.9653762
45,South Carolina,45019002002,"Charleston County, SC - 45019002002",2016,17.30%,,+32.7340159,-079.9611767
45,South Carolina,45019002003,"Charleston County, SC - 45019002003",2016,2.10%,,+32.6854321,-079.9526678
45,South Carolina,45019002004,"Charleston County, SC - 45019002004",2016,7.40%,,+32.6626912,-079.9316597
45,South Carolina,45019002005,"Charleston County, SC - 45019002005",2016,5.70%,,+32.7310699,-079.9132447
45,South Carolina,45019002006,"Charleston County, SC - 45019002006",2016,14.00%,,+32.7325383,-079.9346090
45,South Carolina,45019002007,"Charleston County, SC - 45019002007",2016,7.80%,,+32.7538419,-079.9174385
45,South Carolina,45019002101,"Charleston County, SC - 45019002101",2016,2.30%,,+32.7430103,-080.0840064
45,South Carolina,45019002103,"Charleston County, SC - 45019002103",2016,0.80%,,+32.6727041,-080.0718045
45,South Carolina,45019002104,"Charleston County, SC - 45019002104",2016,3.20%,,+32.6164419,-080.0605945
45,South Carolina,45019002105,"Charleston County, SC - 45019002105",2016,3.30%,,+32.5750134,-080.1820452
45,South Carolina,45019002200,"Charleston County, SC - 45019002200",2016,0.20%,,+32.6576817,-080.1839478
45,South Carolina,45019002300,"Charleston County, SC - 45019002300",2016,0.20%,,+32.5734128,-080.3153210
45,South Carolina,45019002400,"Charleston County, SC - 45019002400",2016,0.30%,,+32.7481866,-080.3518239
45,South Carolina,45019002502,"Charleston County, SC - 45019002502",2016,1.10%,,+32.7290527,-080.2269830
45,South Carolina,45019002604,"Charleston County, SC - 45019002604",2016,11.90%,,+32.8222997,-080.0002429
45,South Carolina,45019002605,"Charleston County, SC - 45019002605",2016,21.30%,,+32.8034113,-079.9928200
45,South Carolina,45019002606,"Charleston County, SC - 45019002606",2016,6.10%,,+32.8193670,-079.9780481
45,South Carolina,45019002611,"Charleston County, SC - 45019002611",2016,10.40%,,+32.8348212,-080.0393762
45,South Carolina,45019002612,"Charleston County, SC - 45019002612",2016,21.10%,,+32.8174841,-080.0204648
45,South Carolina,45019002613,"Charleston County, SC - 45019002613",2016,24.60%,,+32.8200495,-080.0433739
